[Data]
Comment,Time Stamp (sec),Status (code),Temperature (K),Magnetic Field (Oe),Sample Position (degrees),Bridge 1 Resistivity (Ohm-m),Bridge 1 Excitation (uA),Bridge 2 Resistivity (Ohm-m),Bridge 2 Excitation (uA),Bridge 3 Resistivity (Ohm-m),Bridge 3 Excitation (uA),Bridge 4 Resistivity (Ohm-m),Bridge 4 Excitation (uA),Bridge 1 Std. Dev. (Ohm-m),Bridge 2 Std. Dev. (Ohm-m),Bridge 3 Std. Dev. (Ohm-m),Bridge 4 Std. Dev. (Ohm-m),Number of Readings,Bridge 1 Resistance (Ohms),Bridge 2 Resistance (Ohms),Bridge 3 Resistance (Ohms),Bridge 4 Resistance (Ohms)
,24067010.949,,2.00027380466461,-89318.94,0,-3.21840778924525e-006,999.890258789063,9.802505671978e-006,999.890258789063,9.73401764035225e-005,956.139587402344,,,7.65870176307175e-008,6.27555820887121e-008,6.26231108420449e-007,,25,-0.00321840778924525,0.009802505671978,0.0973401764035225,
,24067029.498,,1.99992875576019,-87850.889375,0,-3.4963765181601e-006,999.890258789063,9.79645971208811e-006,999.890258789063,9.76413169503212e-005,956.139587402344,,,7.42894638645281e-008,6.9114070711106e-008,8.68526470035203e-007,,25,-0.0034963765181601,0.00979645971208811,0.0976413169503212,
,24067048.171,,1.99995108127594,-86351.144375,0,-3.74088073149323e-006,999.890258789063,9.82645347714424e-006,999.890258789063,9.75332909822464e-005,956.139587402344,,,6.77715358059824e-008,6.58326782618396e-008,4.96495353883611e-007,,25,-0.00374088073149323,0.00982645347714424,0.0975332909822464,
,24067067.188,,1.99998684406281,-84853.74625,0,-3.93316651694477e-006,999.890258789063,9.91605557501316e-006,999.890258789063,9.75294280052185e-005,956.139587402344,,,3.30014557491331e-007,2.65995311704485e-007,5.10351389317294e-007,,25,-0.00393316651694477,0.00991605557501316,0.0975294280052185,
,24067086.142,,1.99997775554657,-83362.8475,0,-3.78182792337611e-006,999.890258789063,9.91930563002825e-006,999.890258789063,9.73301282525063e-005,956.139587402344,,,7.07346847563074e-007,1.97210081007656e-007,4.92373129724219e-007,,25,-0.00378182792337611,0.00991930563002825,0.0973301282525063,
,24067104.581,,2.00000510692596,-81873.411875,0,-3.62136615440249e-006,999.890258789063,9.87588468939066e-006,999.890258789063,9.75869873166084e-005,956.139587402344,,,7.26045829255942e-008,5.4543279981759e-008,5.21535826579267e-007,,25,-0.00362136615440249,0.00987588468939066,0.0975869873166084,
,24067123.941,,2.00005013942719,-80361.8609375,0,-3.37276833131909e-006,999.890258789063,9.90097895264626e-006,999.890258789063,9.72936850786209e-005,956.139587402344,,,7.34906039072446e-008,6.67169914071079e-008,7.37416766335468e-007,,25,-0.00337276833131909,0.00990097895264625,0.0972936850786209,
,24067142.645,,2.00005858421326,-78877.864375,0,-3.16712603904307e-006,999.890258789063,9.8979202285409e-006,999.890258789063,9.74210488796234e-005,956.139587402344,,,4.88004747153109e-008,6.74958442292977e-008,5.95635990599621e-007,,25,-0.00316712603904307,0.0098979202285409,0.0974210488796234,
,24067161.1,,1.99999707698822,-77397.846875,0,-3.07508370839059e-006,999.890258789063,9.91812795400619e-006,999.890258789063,9.75221738219261e-005,956.139587402344,,,2.39280207452801e-008,5.94024998486895e-008,9.58084347501849e-007,,25,-0.00307508370839059,0.0099181279540062,0.0975221738219261,
,24067180.366,,2.0000452041626,-75856.143125,0,-3.09142688289285e-006,999.890258789063,9.9337900057435e-006,999.890258789063,9.72463235259056e-005,956.139587402344,,,3.55807778938317e-008,6.05793640786924e-008,5.61889410702122e-007,,25,-0.00309142688289285,0.0099337900057435,0.0972463235259056,
